volt,node_id,cluster_index,cluster_id,cluster_label,cluster_size
110,114560315521256133_2,0,110kV-C1,,74
110,114560315521256134_1,0,110kV-C1,,74
110,114560315521256134_2,0,110kV-C1,,74
110,114560315521256135_1,0,110kV-C1,,74
110,114560315521256135_2,0,110kV-C1,,74
110,114560315521261718_1,0,110kV-C1,,74
110,114560315521261718_2,0,110kV-C1,,74
110,114560315521261719_1,0,110kV-C1,,74
110,114560315521261719_2,0,110kV-C1,,74
110,114560315521261720_1,0,110kV-C1,,74
110,114560315521261720_2,0,110kV-C1,,74
110,114560315521261722_1,0,110kV-C1,,74
110,114560315521261722_2,0,110kV-C1,,74
110,114560315521261724_1,0,110kV-C1,,74
110,114560315521261724_2,0,110kV-C1,,74
110,114560315521262076_1,0,110kV-C1,,74
110,114560315521262076_2,0,110kV-C1,,74
110,114560315521262077_1,0,110kV-C1,,74
110,114560315521262077_2,0,110kV-C1,,74
110,114560315521262589_1,0,110kV-C1,,74
110,114560315521262589_2,0,110kV-C1,,74
110,114560315521274963_1,0,110kV-C1,,74
110,114560315521274963_2,0,110kV-C1,,74
110,114560315521293100_1,0,110kV-C1,,74
110,114560315521293100_2,0,110kV-C1,,74
110,114841790497950832_1,0,110kV-C1,,74
110,114841790497950833_1,0,110kV-C1,,74
110,114841790497976577_1,0,110kV-C1,,74
110,114841790497976578_1,0,110kV-C1,,74
110,114841790497987986_1,0,110kV-C1,,74
110,115404740451369199_1,0,110kV-C1,,74
110,115404740451369200_1,0,110kV-C1,,74
110,115404740451369201_1,0,110kV-C1,,74
110,115404740451371498_1,0,110kV-C1,,74
110,115404740451371503_1,0,110kV-C1,,74
110,116530640358211763_1,0,110kV-C1,,74
110,116530640358212552_1,0,110kV-C1,,74
110,116530640358212553_1,0,110kV-C1,,74
110,116530640358212554_1,0,110kV-C1,,74
110,116530640358213263_1,0,110kV-C1,,74
110,116530640358213263_2,0,110kV-C1,,74
110,116530640358213264_1,0,110kV-C1,,74
110,116530640358213264_2,0,110kV-C1,,74
110,116530640358213336_2,0,110kV-C1,,74
110,116530640358214301_1,0,110kV-C1,,74
110,116530640358214304_1,0,110kV-C1,,74
110,116530640358214304_2,0,110kV-C1,,74
110,117093590311633001_2,0,110kV-C1,,74
110,117093590311633001_4,0,110kV-C1,,74
110,117093590311633002_2,0,110kV-C1,,74
110,117093590311633002_4,0,110kV-C1,,74
110,117093590311634042_1,0,110kV-C1,,74
110,117093590311634043_1,0,110kV-C1,,74
110,117093590311634570_4,0,110kV-C1,,74
110,117093590311634913_1,0,110kV-C1,,74
110,114560315521280295_1,1,110kV-C2,,63
110,114560315521280295_2,1,110kV-C2,,63
110,114560315521280296_1,1,110kV-C2,,63
110,114560315521280296_2,1,110kV-C2,,63
110,114560315521280297_1,1,110kV-C2,,63
110,114560315521280297_2,1,110kV-C2,,63
110,114560315521280302_1,1,110kV-C2,,63
110,114560315521280302_2,1,110kV-C2,,63
110,114560315521280306_1,1,110kV-C2,,63
110,114560315521280306_2,1,110kV-C2,,63
110,114560315521280309_1,1,110kV-C2,,63
110,114560315521280309_2,1,110kV-C2,,63
110,114560315521280321_1,1,110kV-C2,,63
110,114560315521280321_2,1,110kV-C2,,63
110,114560315521280322_1,1,110kV-C2,,63
110,114560315521280322_2,1,110kV-C2,,63
110,114560315521280323_1,1,110kV-C2,,63
110,114560315521280323_2,1,110kV-C2,,63
110,114560315521280520_1,1,110kV-C2,,63
110,114560315521280520_2,1,110kV-C2,,63
110,114560315521280521_1,1,110kV-C2,,63
110,114560315521280521_2,1,110kV-C2,,63
110,114560315521280522_1,1,110kV-C2,,63
110,114560315521280522_2,1,110kV-C2,,63
110,114560315521280571_1,1,110kV-C2,,63
110,114560315521280571_2,1,110kV-C2,,63
110,114560315521280572_1,1,110kV-C2,,63
110,114560315521280572_2,1,110kV-C2,,63
110,114560315521280573_1,1,110kV-C2,,63
110,114560315521280573_2,1,110kV-C2,,63
110,114560315521280575_1,1,110kV-C2,,63
110,114560315521280575_2,1,110kV-C2,,63
110,114560315521280578_1,1,110kV-C2,,63
110,114560315521280578_2,1,110kV-C2,,63
110,114560315521280581_1,1,110kV-C2,,63
110,114560315521280581_2,1,110kV-C2,,63
110,114560315521280582_1,1,110kV-C2,,63
110,114560315521280582_2,1,110kV-C2,,63
110,114560315521280583_1,1,110kV-C2,,63
110,114560315521280583_2,1,110kV-C2,,63
110,114560315521280584_1,1,110kV-C2,,63
110,114560315521280584_2,1,110kV-C2,,63
110,114560315521280585_1,1,110kV-C2,,63
110,114560315521280585_2,1,110kV-C2,,63
110,114841790497989956_1,1,110kV-C2,,63
110,114841790497989957_1,1,110kV-C2,,63
110,114841790497989973_1,1,110kV-C2,,63
110,114841790497989977_1,1,110kV-C2,,63
110,114841790497990018_2,1,110kV-C2,,63
110,114841790497990021_2,1,110kV-C2,,63
110,114841790497990291_2,1,110kV-C2,,63
110,114841790497990292_2,1,110kV-C2,,63
110,114841790497990294_2,1,110kV-C2,,63
110,115404740451372581_1,1,110kV-C2,,63
110,115404740451372582_1,1,110kV-C2,,63
110,115404740451372584_1,1,110kV-C2,,63
110,115404740451372585_1,1,110kV-C2,,63
110,116530640358213879_1,1,110kV-C2,,63
110,116530640358213880_1,1,110kV-C2,,63
110,116530640358213950_1,1,110kV-C2,,63
110,116530640358214302_1,1,110kV-C2,,63
110,117093590311634569_2,1,110kV-C2,,63
110,117093590311634570_2,1,110kV-C2,,63
220,114560315521280313_1,0,220kV-C1,,31
220,114560315521280313_2,0,220kV-C1,,31
220,114560315521280514_1,0,220kV-C1,,31
220,114560315521280514_2,0,220kV-C1,,31
220,114560315521280515_1,0,220kV-C1,,31
220,114560315521280515_2,0,220kV-C1,,31
220,114560315521280516_1,0,220kV-C1,,31
220,114560315521280516_2,0,220kV-C1,,31
220,114560315521280517_1,0,220kV-C1,,31
220,114560315521280517_2,0,220kV-C1,,31
220,114560315521280518_1,0,220kV-C1,,31
220,114560315521280518_2,0,220kV-C1,,31
220,114560315521280519_2,0,220kV-C1,,31
220,114560315521280622_1,0,220kV-C1,,31
220,114560315521280622_2,0,220kV-C1,,31
220,114560315521280623_1,0,220kV-C1,,31
220,114560315521280623_2,0,220kV-C1,,31
220,114560315521280624_1,0,220kV-C1,,31
220,114560315521280624_2,0,220kV-C1,,31
220,114560315521280625_1,0,220kV-C1,,31
220,114560315521280625_2,0,220kV-C1,,31
220,114841790497990012_1,0,220kV-C1,,31
220,114841790497990013_1,0,220kV-C1,,31
220,115404740451372579_1,0,220kV-C1,,31
220,115404740451372580_1,0,220kV-C1,,31
220,116530640358211726_1,0,220kV-C1,,31
220,116530640358211729_1,0,220kV-C1,,31
220,116530640358213871_1,0,220kV-C1,,31
220,116530640358214155_1,0,220kV-C1,,31
220,117093590311634569_1,0,220kV-C1,,31
220,117093590311634570_1,0,220kV-C1,,31
220,114841790497996640_1,1,220kV-C2,,3
220,114841790497996641_2,1,220kV-C2,,3
220,117093590311634569_4,1,220kV-C2,,3
220,114560315521239105_1,2,220kV-C3,,30
220,114560315521239105_2,2,220kV-C3,,30
220,114560315521239107_1,2,220kV-C3,,30
220,114560315521239107_2,2,220kV-C3,,30
220,114560315521239108_1,2,220kV-C3,,30
220,114560315521239108_2,2,220kV-C3,,30
220,114560315521262078_1,2,220kV-C3,,30
220,114560315521262078_2,2,220kV-C3,,30
220,114560315521262079_1,2,220kV-C3,,30
220,114560315521262079_2,2,220kV-C3,,30
220,114560315521280618_2,2,220kV-C3,,30
220,114560315521280619_1,2,220kV-C3,,30
220,114560315521280619_2,2,220kV-C3,,30
220,114560315521280620_1,2,220kV-C3,,30
220,114560315521280620_2,2,220kV-C3,,30
220,114560315521280621_2,2,220kV-C3,,30
220,114560315521280697_1,2,220kV-C3,,30
220,114560315521280697_2,2,220kV-C3,,30
220,114560315521280698_1,2,220kV-C3,,30
220,114560315521280698_2,2,220kV-C3,,30
220,114841790497950800_1,2,220kV-C3,,30
220,114841790497950809_1,2,220kV-C3,,30
220,115404740451369195_1,2,220kV-C3,,30
220,115404740451369196_1,2,220kV-C3,,30
220,116530640358211726_2,2,220kV-C3,,30
220,116530640358211729_2,2,220kV-C3,,30
220,116530640358214083_2,2,220kV-C3,,30
220,116530640358214084_2,2,220kV-C3,,30
220,117093590311633001_1,2,220kV-C3,,30
220,117093590311633002_1,2,220kV-C3,,30
